label,pattern,input_kb,matches,oracle_us,cpu_ref_us,gpu_us,oracle_gbs,cpu_ref_gbs,gpu_gbs,correct
digits,\d+,1,38,30,5,278,0.0337,0.1758,0.0037,true
names,Sherlock|Holmes|Watson,1,37,1,6,343,0.9217,0.1619,0.0030,true
phone,\d{3}-\d{4},1,13,0,5,397,1.9147,0.1844,0.0026,true
email,[a-z]+@[a-z]+\.[a-z]+,1,13,2,5,266,0.3953,0.1768,0.0038,true
complement,~(_*abc_*),1,14,8,2,50,0.1275,0.3612,0.0204,true
words,\w+,1,203,475,8,378,0.0022,0.1148,0.0027,true
digits,\d+,10,380,54,54,351,0.1883,0.1870,0.0291,true
names,Sherlock|Holmes|Watson,10,378,11,56,389,0.9269,0.1816,0.0263,true
phone,\d{3}-\d{4},10,127,4,52,434,2.1522,0.1943,0.0236,true
email,[a-z]+@[a-z]+\.[a-z]+,10,126,62,54,339,0.1632,0.1888,0.0301,true
complement,~(_*abc_*),10,128,14,27,63,0.6939,0.3766,0.1618,true
words,\w+,10,2024,524,82,2990,0.0195,0.1248,0.0034,true
digits,\d+,100,3792,301,550,703,0.3394,0.1860,0.1456,true
names,Sherlock|Holmes|Watson,100,3792,109,562,565,0.9358,0.1822,0.1812,true
phone,\d{3}-\d{4},100,1264,49,545,539,2.0490,0.1878,0.1899,true
email,[a-z]+@[a-z]+\.[a-z]+,100,1264,297,537,497,0.3441,0.1904,0.2060,true
complement,~(_*abc_*),100,1266,75,266,158,1.3581,0.3845,0.6456,true
words,\w+,100,20227,1013,847,27071,0.1010,0.1209,0.0038,true
digits,\d+,1000,37926,2711,5635,4607,0.3777,0.1817,0.2223,true
names,Sherlock|Holmes|Watson,1000,37926,1120,5681,2475,0.9136,0.1802,0.4137,true
phone,\d{3}-\d{4},1000,12642,468,5317,1708,2.1838,0.1926,0.5993,true
email,[a-z]+@[a-z]+\.[a-z]+,1000,12642,2627,5390,2259,0.3898,0.1900,0.4532,true
complement,~(_*abc_*),1000,12644,695,2642,1258,1.4719,0.3875,0.8139,true
words,\w+,1000,202272,6009,9344,261523,0.1704,0.1096,0.0039,true
digits,\d+,10000,379259,27587,57419,44491,0.3712,0.1783,0.2302,true
names,Sherlock|Holmes|Watson,10000,379259,12400,57404,22001,0.8258,0.1784,0.4654,true
phone,\d{3}-\d{4},10000,126420,4754,53252,13145,2.1538,0.1923,0.7790,true
email,[a-z]+@[a-z]+\.[a-z]+,10000,126420,26203,54427,21319,0.3908,0.1881,0.4803,true
complement,~(_*abc_*),10000,126421,6928,26403,38450,1.4780,0.3878,0.2663,true
words,\w+,10000,2022716,69559,148613,2710671,0.1472,0.0689,0.0038,true
