label,pattern,input_kb,matches,oracle_us,cpu_ref_us,gpu_us,oracle_gbs,cpu_ref_gbs,gpu_gbs,correct
digits,\d+,1,38,24,6,277,0.0421,0.1699,0.0037,true
names,Sherlock|Holmes|Watson,1,37,1,6,342,0.9344,0.1655,0.0030,true
phone,\d{3}-\d{4},1,13,0,5,396,1.8913,0.1860,0.0026,true
email,[a-z]+@[a-z]+\.[a-z]+,1,13,2,5,266,0.3929,0.1773,0.0038,true
complement,~(_*abc_*),1,14,7,2,50,0.1348,0.3609,0.0203,true
words,\w+,1,203,300,9,378,0.0034,0.1111,0.0027,true
digits,\d+,10,380,48,55,350,0.2132,0.1848,0.0293,true
names,Sherlock|Holmes|Watson,10,378,10,57,389,0.9526,0.1792,0.0263,true
phone,\d{3}-\d{4},10,127,4,51,433,2.1599,0.1973,0.0236,true
email,[a-z]+@[a-z]+\.[a-z]+,10,126,59,53,339,0.1724,0.1899,0.0302,true
complement,~(_*abc_*),10,128,13,26,62,0.7395,0.3858,0.1638,true
words,\w+,10,2024,344,82,2974,0.0297,0.1234,0.0034,true
digits,\d+,100,3792,290,543,692,0.3526,0.1882,0.1478,true
names,Sherlock|Holmes|Watson,100,3792,109,565,559,0.9367,0.1811,0.1831,true
phone,\d{3}-\d{4},100,1264,46,523,536,2.2131,0.1958,0.1909,true
email,[a-z]+@[a-z]+\.[a-z]+,100,1264,291,536,506,0.3515,0.1909,0.2023,true
complement,~(_*abc_*),100,1266,75,264,157,1.3565,0.3872,0.6489,true
words,\w+,100,20227,830,872,27079,0.1233,0.1174,0.0038,true
digits,\d+,1000,37926,2703,5563,4639,0.3787,0.1841,0.2207,true
names,Sherlock|Holmes|Watson,1000,37926,1092,5613,2443,0.9371,0.1824,0.4190,true
phone,\d{3}-\d{4},1000,12642,469,5207,1712,2.1815,0.1966,0.5978,true
email,[a-z]+@[a-z]+\.[a-z]+,1000,12642,2612,5324,2267,0.3919,0.1923,0.4516,true
complement,~(_*abc_*),1000,12644,692,2635,1258,1.4795,0.3886,0.8137,true
words,\w+,1000,202272,5861,9433,261612,0.1747,0.1086,0.0039,true
digits,\d+,10000,379259,27586,57783,44178,0.3712,0.1772,0.2318,true
names,Sherlock|Holmes|Watson,10000,379259,12330,57528,21880,0.8305,0.1780,0.4680,true
phone,\d{3}-\d{4},10000,126420,4749,51728,12851,2.1559,0.1980,0.7968,true
email,[a-z]+@[a-z]+\.[a-z]+,10000,126420,26108,54091,21300,0.3922,0.1893,0.4807,true
complement,~(_*abc_*),10000,126421,6965,26495,36977,1.4702,0.3865,0.2769,true
words,\w+,10000,2022716,69072,147836,2700941,0.1483,0.0693,0.0038,true
